session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
AL_0045/2026-01-30/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0045\2026-01-30\1\widefield.wfz,subjects/AL_0045/2026-01-30/1/widefield.wfz,81766777973,81766777973,True,True,
AL_0033/2025-06-23/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-23\1\widefield.wfz,subjects/AL_0033/2025-06-23/1/widefield.wfz,88925850844,88925850844,True,True,
ZYE_0058/2022-01-30/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-01-30\1\widefield.wfz,subjects/ZYE_0058/2022-01-30/1/widefield.wfz,99044019339,99044019339,True,True,
LK_0003/2021-05-20/3,\\sahale.biostr.washington.edu\data\Subjects\LK_0003\2021-05-20\3\widefield.wfz,subjects/LK_0003/2021-05-20/3/widefield.wfz,103503080117,103503080117,True,True,
AL_0039/2025-06-05/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-05\1\widefield.wfz,subjects/AL_0039/2025-06-05/1/widefield.wfz,92966091452,92966091452,True,True,
AL_0039/2025-06-19/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-19\1\widefield.wfz,subjects/AL_0039/2025-06-19/1/widefield.wfz,93183732238,93183732238,True,True,
ZYE_0058/2022-02-02/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-02-02\2\widefield.wfz,subjects/ZYE_0058/2022-02-02/2/widefield.wfz,100870305165,100870305165,True,True,
ZYE_0059/2022-03-14/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0059\2022-03-14\1\widefield.wfz,subjects/ZYE_0059/2022-03-14/1/widefield.wfz,103445255389,103445255389,True,True,
ZYE_0009/2020-08-18/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-08-18\1\widefield.wfz,subjects/ZYE_0009/2020-08-18/1/widefield.wfz,98950145976,98950145976,True,True,
AL_0033/2025-06-18/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-18\1\widefield.wfz,subjects/AL_0033/2025-06-18/1/widefield.wfz,83664534869,83664534869,True,True,
ZYE_0058/2022-02-01/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-02-01\1\widefield.wfz,subjects/ZYE_0058/2022-02-01/1/widefield.wfz,102911300987,102911300987,True,True,
ZYE_0085/2024-07-25/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0085\2024-07-25\3\widefield.wfz,subjects/ZYE_0085/2024-07-25/3/widefield.wfz,92703762386,92703762386,True,True,
AB_0032/2024-08-14/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-08-14\1\widefield.wfz,subjects/AB_0032/2024-08-14/1/widefield.wfz,93748471303,,False,False,FileNotPresent: File not present: subjects/AB_0032/2024-08-14/1/widefield.wfz
ZYE_0009/2020-08-17/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-08-17\1\widefield.wfz,subjects/ZYE_0009/2020-08-17/1/widefield.wfz,98207070777,98207070777,True,True,
AL_0046/2026-02-12/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0046\2026-02-12\1\widefield.wfz,subjects/AL_0046/2026-02-12/1/widefield.wfz,79572518795,,False,False,FileNotPresent: File not present: subjects/AL_0046/2026-02-12/1/widefield.wfz
AL_0039/2025-10-03/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-10-03\1\widefield.wfz,subjects/AL_0039/2025-10-03/1/widefield.wfz,73752810761,73752810761,True,True,
AL_0023/2023-08-30/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-08-30\1\widefield.wfz,subjects/AL_0023/2023-08-30/1/widefield.wfz,95222436473,,False,False,FileNotPresent: File not present: subjects/AL_0023/2023-08-30/1/widefield.wfz
LK_0003/2021-04-06/1,\\sahale.biostr.washington.edu\data\Subjects\LK_0003\2021-04-06\1\widefield.wfz,subjects/LK_0003/2021-04-06/1/widefield.wfz,97114576223,97114576223,True,True,
