timestamp_utc,event,path,size_bytes,host,pid,note
2026-08-04T18:36:10+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-29\1\widefield.wfz.partial-49200,0,DESKTOP-KH3D2OM,49200,temporary output
2026-08-05T03:20:21+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz.partial-5888,122923655024,DESKTOP-KH3D2OM,5888,renamed into place
2026-08-05T03:20:21+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz,122923655024,DESKTOP-KH3D2OM,5888,
2026-08-05T03:24:24+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz.partial-22672,130299116292,DESKTOP-KH3D2OM,22672,renamed into place
2026-08-05T03:24:24+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz,130299116292,DESKTOP-KH3D2OM,22672,
2026-08-05T03:42:19+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-08\2\widefield.wfz.partial-19484,121988449690,DESKTOP-KH3D2OM,19484,renamed into place
2026-08-05T03:42:19+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-08\2\widefield.wfz,121988449690,DESKTOP-KH3D2OM,19484,
2026-08-05T03:47:11+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-06\3\widefield.wfz.partial-20232,127552796550,DESKTOP-KH3D2OM,20232,renamed into place
2026-08-05T03:47:11+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-06\3\widefield.wfz,127552796550,DESKTOP-KH3D2OM,20232,
2026-08-05T03:53:38+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-04-26\1\widefield.wfz.partial-45184,131702309610,DESKTOP-KH3D2OM,45184,renamed into place
2026-08-05T03:53:38+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-04-26\1\widefield.wfz,131702309610,DESKTOP-KH3D2OM,45184,
2026-08-05T03:57:49+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-28\1\widefield.wfz.partial-17204,129788354030,DESKTOP-KH3D2OM,17204,renamed into place
2026-08-05T03:57:49+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-28\1\widefield.wfz,129788354030,DESKTOP-KH3D2OM,17204,
2026-08-05T04:20:48+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-04-16\1\widefield.wfz.partial-30584,145981130097,DESKTOP-KH3D2OM,30584,renamed into place
2026-08-05T04:20:48+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-04-16\1\widefield.wfz,145981130097,DESKTOP-KH3D2OM,30584,
2026-08-05T04:22:12+00:00,delete,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-29\1\widefield.wfz.partial-49200,155571900071,DESKTOP-KH3D2OM,49200,renamed into place
2026-08-05T04:22:12+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-29\1\widefield.wfz,155571900071,DESKTOP-KH3D2OM,49200,
2026-08-05T05:44:15+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz.README.md,1764,DESKTOP-KH3D2OM,5888,
2026-08-05T05:44:18+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz.frame.tif,627776,DESKTOP-KH3D2OM,5888,
2026-08-05T05:44:18+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz.receipt.json,1397,DESKTOP-KH3D2OM,5888,
2026-08-05T05:53:46+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz.README.md,1791,DESKTOP-KH3D2OM,22672,
2026-08-05T05:53:50+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz.frame.tif,631826,DESKTOP-KH3D2OM,22672,
2026-08-05T05:53:50+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz.receipt.json,1400,DESKTOP-KH3D2OM,22672,
2026-08-05T05:59:40+00:00,create,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-07\3\widefield.wfz.partial-5888,0,DESKTOP-KH3D2OM,5888,temporary output
