session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
ZYE_0052/2022-01-04/1,PASS,pass,pass,pass,pass,pass,pass,134896369152,59633213772,59633213772,
ZYE_0053/2021-12-19/2,PASS,pass,pass,pass,pass,pass,pass,164673013248,75632310897,75632310897,
ZYE_0053/2021-12-20/1,PASS,pass,pass,pass,pass,pass,pass,149805891072,66436055059,66436055059,
ZYE_0053/2021-12-21/1,REFUSE,pass,pass,pass,pass,pass,fail,124045831680,56544067841,,C7: FileNotPresent: File not present: subjects/ZYE_0053/2021-12-21/1/widefield.wfz
ZYE_0053/2021-12-22/1,PASS,pass,pass,pass,pass,pass,pass,138167477760,61525269141,61525269141,
ZYE_0053/2022-01-02/1,PASS,pass,pass,pass,pass,pass,pass,157273941504,71990958469,71990958469,
ZYE_0053/2022-01-04/1,REFUSE,pass,pass,pass,pass,pass,fail,129575517696,57773069093,,C7: FileNotPresent: File not present: subjects/ZYE_0053/2022-01-04/1/widefield.wfz
ZYE_0054/2022-01-03/1,PASS,pass,pass,pass,pass,pass,pass,147135972864,65574837835,65574837835,
ZYE_0055/2022-01-03/1,REFUSE,pass,pass,pass,pass,pass,fail,126529064448,57864879039,,C7: FileNotPresent: File not present: subjects/ZYE_0055/2022-01-03/1/widefield.wfz
ZYE_0055/2022-01-06/1,PASS,pass,pass,pass,pass,pass,pass,142101794304,65671550550,65671550550,
ZYE_0055/2022-01-07/4,PASS,pass,pass,pass,pass,pass,pass,145042564608,67000437610,67000437610,
ZYE_0055/2022-01-10/1,PASS,pass,pass,pass,pass,pass,pass,170370399744,78429963118,78429963118,
ZYE_0055/2022-01-23/2,PASS,pass,pass,pass,pass,pass,pass,154024349184,68377053751,68377053751,
ZYE_0055/2022-01-24/3,PASS,pass,pass,pass,pass,pass,pass,143214312960,65953960426,65953960426,
ZYE_0056/2022-01-10/1,PASS,pass,pass,pass,pass,pass,pass,132982052352,60985259579,60985259579,
ZYE_0057/2022-01-28/1,PASS,pass,pass,pass,pass,pass,pass,238267123200,105950720320,105950720320,
ZYE_0057/2022-01-29/1,PASS,pass,pass,pass,pass,pass,pass,192777296896,85772236511,85772236511,
ZYE_0057/2022-01-30/1,PASS,pass,pass,pass,pass,pass,pass,201648759808,88635708134,88635708134,
ZYE_0058/2022-01-29/1,PASS,pass,pass,pass,pass,pass,pass,210177059328,92549602124,92549602124,
ZYE_0058/2022-01-30/1,PASS,pass,pass,pass,pass,pass,pass,231283421696,99044019339,99044019339,
ZYE_0058/2022-01-31/1,PASS,pass,pass,pass,pass,pass,pass,238871468032,106119119412,106119119412,
ZYE_0058/2022-02-01/1,PASS,pass,pass,pass,pass,pass,pass,227076949504,102911300987,102911300987,
ZYE_0058/2022-02-02/2,PASS,pass,pass,pass,pass,pass,pass,228953102848,100870305165,100870305165,
ZYE_0058/2022-02-04/1,PASS,pass,pass,pass,pass,pass,pass,232315088384,101516309829,101516309829,
ZYE_0058/2022-03-09/1,PASS,pass,pass,pass,pass,pass,pass,254283290112,113769903627,113769903627,
ZYE_0058/2022-03-10/1,PASS,pass,pass,pass,pass,pass,pass,234162396672,105135575699,105135575699,
ZYE_0058/2022-03-11/1,PASS,pass,pass,pass,pass,pass,pass,186659495424,85039488951,85039488951,
ZYE_0059/2022-03-09/1,PASS,pass,pass,pass,pass,pass,pass,199512313344,90813498833,90813498833,
ZYE_0059/2022-03-14/1,PASS,pass,pass,pass,pass,pass,pass,227937861120,103445255389,103445255389,
ZYE_0059/2022-03-15/5,PASS,pass,pass,pass,pass,pass,pass,130988631552,59293614071,59293614071,
ZYE_0059/2022-03-16/1,PASS,pass,pass,pass,pass,pass,pass,184138292736,81966409414,81966409414,
ZYE_0060/2022-03-23/2,PASS,pass,pass,pass,pass,pass,pass,144202796544,63413699158,63413699158,
ZYE_0060/2022-03-24/1,PASS,pass,pass,pass,pass,pass,pass,157962462720,69336281221,69336281221,
ZYE_0060/2022-03-25/1,PASS,pass,pass,pass,pass,pass,pass,157230276096,69287238672,69287238672,
ZYE_0060/2022-03-26/1,PASS,pass,pass,pass,pass,pass,pass,142178999808,64262700873,64262700873,
ZYE_0062/2022-03-29/1,PASS,pass,pass,pass,pass,pass,pass,180225492480,79653686578,79653686578,
ZYE_0062/2022-03-30/1,PASS,pass,pass,pass,pass,pass,pass,174905273856,77671332655,77671332655,
ZYE_0062/2022-03-30/5,PASS,pass,pass,pass,pass,pass,pass,130021031424,57778880830,57778880830,
ZYE_0062/2022-03-31/2,PASS,pass,pass,pass,pass,pass,pass,159465438720,71096018802,71096018802,
ZYE_0066/2022-10-23/6,PASS,pass,pass,pass,pass,pass,pass,167863119360,74457947832,74457947832,
ZYE_0066/2022-10-25/6,PASS,pass,pass,pass,pass,pass,pass,138695259648,58147106861,58147106861,
ZYE_0067/2022-10-23/2,PASS,pass,pass,pass,pass,pass,pass,171853757952,80222738252,80222738252,
ZYE_0067/2022-10-26/3,PASS,pass,pass,pass,pass,pass,pass,194292082176,88181171294,88181171294,
ZYE_0069/2023-08-17/5,PASS,pass,pass,pass,pass,pass,pass,269463664128,115728777689,115728777689,
ZYE_0069/2023-08-24/4,PASS,pass,pass,pass,pass,pass,pass,244725628416,108084581329,108084581329,
ZYE_0069/2023-11-20/1,PASS,pass,pass,pass,pass,pass,pass,293244225024,130299116292,130299116292,
ZYE_0070/2023-01-14/1,PASS,pass,pass,pass,pass,pass,pass,145237476864,62374271525,62374271525,
ZYE_0070/2023-01-15/1,PASS,pass,pass,pass,pass,pass,pass,157096748544,66561369042,66561369042,
ZYE_0070/2023-01-16/1,PASS,pass,pass,pass,pass,pass,pass,169521139200,74396371953,74396371953,
ZYE_0070/2023-01-16/5,REFUSE,pass,pass,pass,pass,pass,fail,119009121792,51843471573,,C7: FileNotPresent: File not present: subjects/ZYE_0070/2023-01-16/5/widefield.wfz
ZYE_0071/2023-01-14/1,PASS,pass,pass,pass,pass,pass,pass,155221034496,66745479527,66745479527,
ZYE_0071/2023-01-17/3,PASS,pass,pass,pass,pass,pass,pass,168306734592,72915105556,72915105556,
ZYE_0071/2023-01-17/7,PASS,pass,pass,pass,pass,pass,pass,158226353664,68098872000,68098872000,
ZYE_0072/2023-01-15/1,PASS,pass,pass,pass,pass,pass,pass,148160527872,61858282414,61858282414,
ZYE_0072/2023-01-22/1,PASS,pass,pass,pass,pass,pass,pass,164876785152,66466635583,66466635583,
ZYE_0072/2023-01-22/5,PASS,pass,pass,pass,pass,pass,pass,144641349120,57200406159,57200406159,
ZYE_0076/2024-05-17/1,REFUSE,pass,pass,pass,pass,pass,fail,121715111424,44347640303,,C7: FileNotPresent: File not present: subjects/ZYE_0076/2024-05-17/1/widefield.wfz
