path,bytes,uniform,n_members,break_at_member,first_other,error
\\sahale.biostr.washington.edu\data\Subjects\FD_012\2026-04-21\1\widefield.tar,191350289408,False,302371,197404,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (66,426,698,800 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,390 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_012\2026-04-23\1\widefield.tar,192299276288,False,303870,194063,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (69,489,977,480 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,389 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_005\2026-02-06\1\widefield.tar,115559241216,False,182606,118124,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (40,806,571,960 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,273 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-02-25\1\widefield.tar,236548814336,False,373794,243808,"1/p0.missed_samples.imec0.txt (5,211 B) | 1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (82,259,281,720 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,284 B)",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-02-28\1\widefield.tar,231219482112,False,365372,239222,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (79,832,123,140 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,273 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-03-02\2\widefield.tar,220096571392,False,347796,227198,"2/p0_g0/ (0 B) | 2/p0_g0/p0_g0_imec0/ (0 B) | 2/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (76,318,384,450 B) | 2/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,272 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-03-03\1\widefield.tar,220903129088,False,349070,228206,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (76,487,047,560 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,293 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-04-06\1\widefield.tar,186102605312,False,294079,191421,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0/ (0 B) | 1/p0_g0/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (64,965,248,040 B) | 1/p0_g0/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,389 B)",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-04-09\2\widefield.tar,115775233536,False,182947,119419,"2/p0_g0/ (0 B) | 2/p0_g0/p0_g0_imec0/ (0 B) | 2/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (40,203,046,730 B) | 2/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,389 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-04-13\1\widefield.tar,189805273600,False,299929,196078,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (65,720,818,240 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,391 B) | <not a tar header>",
