session,wfz,b2_key,local_bytes,in_b2,b2_bytes,b2_uploaded_utc,error
ZYE_0092/2025-06-21/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0092\2025-06-21\2\widefield.wfz,subjects/ZYE_0092/2025-06-21/2/widefield.wfz,34966980318,True,34966980318,2026-08-24T08:08:26+00:00,
ZYE_0098/2025-12-16/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0098\2025-12-16\1\widefield.wfz,subjects/ZYE_0098/2025-12-16/1/widefield.wfz,36692669503,True,36692669503,2026-08-24T11:45:39+00:00,
AL_0033/2025-03-04/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-03-04\1\widefield.wfz,subjects/AL_0033/2025-03-04/1/widefield.wfz,40615146489,False,,,FileNotPresent
ZYE_0091/2025-06-19/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0091\2025-06-19\2\widefield.wfz,subjects/ZYE_0091/2025-06-19/2/widefield.wfz,35962383979,True,35962383979,2026-08-24T12:05:59+00:00,
ZYE_0091/2025-05-06/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0091\2025-05-06\3\widefield.wfz,subjects/ZYE_0091/2025-05-06/3/widefield.wfz,40712652232,True,40712652232,2026-08-24T11:47:06+00:00,
AL_0023/2023-08-09/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-08-09\1\widefield.wfz,subjects/AL_0023/2023-08-09/1/widefield.wfz,43813541848,True,43813541848,2026-08-24T17:20:50+00:00,
FD_001/2025-10-08/4,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-10-08\4\widefield.wfz,subjects/FD_001/2025-10-08/4/widefield.wfz,34375347209,False,,,FileNotPresent
FD_011/2026-05-25/1,\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-05-25\1\widefield.wfz,subjects/FD_011/2026-05-25/1/widefield.wfz,34991353996,False,,,FileNotPresent
FD_011/2026-05-23/1,\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-05-23\1\widefield.wfz,subjects/FD_011/2026-05-23/1/widefield.wfz,34431190617,False,,,FileNotPresent
ZYE_0009/2020-08-14/4,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-08-14\4\widefield.wfz,subjects/ZYE_0009/2020-08-14/4/widefield.wfz,42150724047,True,42150724047,2026-08-24T03:54:01+00:00,
FD_004/2025-10-17/1,\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-10-17\1\widefield.wfz,subjects/FD_004/2025-10-17/1/widefield.wfz,36437389666,False,,,FileNotPresent
ZYE_0070/2023-01-17/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0070\2023-01-17\1\widefield.wfz,subjects/ZYE_0070/2023-01-17/1/widefield.wfz,35995103794,True,35995103794,2026-08-24T06:48:26+00:00,
ZYE_0070/2023-01-17/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0070\2023-01-17\5\widefield.wfz,subjects/ZYE_0070/2023-01-17/5/widefield.wfz,35995100194,True,35995100194,2026-08-24T06:50:16+00:00,
ZYE_0095/2025-07-16/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0095\2025-07-16\1\widefield.wfz,subjects/ZYE_0095/2025-07-16/1/widefield.wfz,37536439360,True,37536439360,2026-08-24T09:57:26+00:00,
FD_012/2026-02-24/1,\\sahale.biostr.washington.edu\data\Subjects\FD_012\2026-02-24\1\widefield.wfz,subjects/FD_012/2026-02-24/1/widefield.wfz,32544341079,False,,,FileNotPresent
AL_0033/2024-12-11/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-12-11\1\widefield.wfz,subjects/AL_0033/2024-12-11/1/widefield.wfz,41683165503,False,,,FileNotPresent
FD_011/2026-04-03/1,\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-04-03\1\widefield.wfz,subjects/FD_011/2026-04-03/1/widefield.wfz,33853350431,False,,,FileNotPresent
ZYE_0094/2025-06-21/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0094\2025-06-21\3\widefield.wfz,subjects/ZYE_0094/2025-06-21/3/widefield.wfz,34416348876,True,34416348876,2026-08-24T10:33:52+00:00,
AL_0041/2025-11-12/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2025-11-12\1\widefield.wfz,subjects/AL_0041/2025-11-12/1/widefield.wfz,40562413153,False,,,FileNotPresent
